,,,,,,,,,,,,,,,,,,,,,,,,
idpub,brdxdy,sexrsp,deatyr,pi5760,pop57,yrer74,mx001rer,ru024rec,mz023rer,gx201re,gu024re,iz023rer,gi503re,hx201re,hu024re,jz023rer,hi503rea,q1x001rer,q1u024re,q1z023rer,q1i503rea,q1c003re,hd201kd,dglev
900408,38,2,2015,72,5,80,,0,,3,0,3,12,4,-2,,4,,,,,,0,-2
900409,-3,2,-2,-3,5,-3,,,,,,,,,,,,,,,,,,-3
900412,39,2,-2,73,7,120,4,0,4,2,0,4,11,2,-2,4,5,,,,,,0,-2
900416,39,2,-2,55,7,90,4,0,3,1,0,0,7,1,-2,8,6,5,-2,21,8,2,2,-2
900418,38,1,-2,48,7,140,4,0,0,2,0,8,5,3,-2,8,5,3,-2,2,5,1,2,-2
900419,39,1,-2,50,4,100,,0,,2,0,4,10,2,-2,,7,4,-2,2,5,1,4,-2
900420,39,1,-2,54,4,190,4,0,1,1,0,1,6,1,-2,6,5,5,-2,3,5,2,5,2
900424,40,2,-2,58,9,84,5,-2,0,1,-2,0,-2,1,-2,0,-2,4,1,0,6,1,2,-2
900426,39,1,2018,97,7,130,,,,,,,,,,,,,,,,,,-2
900431,-3,2,-2,103,5,-3,,,,,,,,,,,,,,,,,,-3
900434,37,2,-2,42,5,20,4,0,12,3,0,12,10,2,-2,,7,4,-2,0,0,1,4,-2
900440,39,2,-2,187,3,0,,0,,3,0,4,6,1,-2,-29,6,4,-2,1,6,1,4,-2
900441,39,2,-2,38,2,0,4,-2,6,1,-2,0,-2,3,-2,-29,-2,,,,,,4,-2
900447,39,2,1969,22,2,-3,,,,,,,,,,,,,,,,,,-3
900452,39,1,-2,70,5,200,4,0,6,2,0,5,8,3,-2,4,7,4,-2,0,6,2,3,-2
900455,39,1,-2,37,9,145,,0,,,,,,,,,,,,,,,,-2
900458,38,1,2016,85,7,220,4,0,2,3,0,-3,8,,,,,,,,,,,2
900461,39,2,-2,98,4,0,,0,,2,0,,4,3,-2,,5,,,,,,3,-2
900463,39,1,-2,39,4,120,4,0,4,2,0,1,9,3,5,0,5,,,,,,3,2
900468,39,2,-2,49,5,0,4,-2,5,3,-2,1,-2,3,-2,3,-2,,,,,,5,-2
900470,39,1,-2,96,5,250,,-2,,,,,,,,,,,,,,,,2
900471,39,1,-2,89,4,200,4,-2,4,3,-2,0,-2,3,-2,4,-2,,,,,,2,2
900475,39,2,-2,67,2,0,4,0,0,2,0,0,11,2,4,2,8,4,2,1,8,1,4,-2
900476,39,2,-2,34,5,40,5,0,2,2,0,0,8,,,,,5,-2,1,10,1,,-2
900479,39,2,-2,93,9,150,5,-2,3,1,-2,1,-2,,,,,,,,,,,2
900481,39,1,-2,62,3,-3,5,0,2,2,,0,,2,-2,,6,,,,,,2,-2
900484,39,2,2012,60,7,0,4,7,8,3,0,1,0,,,,,,,,,,,-2
900488,39,2,-2,61,7,10,3,0,8,3,0,16,12,3,-2,8,8,4,-2,2,-5,-5,4,-2
900491,40,1,2002,9,2,110,4,0,2,,,,,,,,,,,,,,,-2
900497,39,1,1994,22,3,250,,-2,,,,,,,,,,,,,,,,-2
900501,38,1,-2,70,6,120,5,0,6,1,0,1,4,1,-2,0,5,,,,,,2,-2
900506,39,1,-2,14,4,75,4,-2,6,1,-2,,-2,3,-2,0,-2,,,,,,3,-2
900508,-3,2,-2,21,3,-3,,,,,,,,,,,,,,,,,,-3
900511,38,2,-2,84,2,12,4,0,9,2,0,5,4,3,-2,6,4,,,,,,6,-2
900515,39,1,-2,64,2,105,4,0,3,3,0,0,10,3,-2,2,10,4,-2,6,7,1,2,-2
900526,39,1,-2,84,4,250,4,0,4,3,0,0,6,3,-2,1,6,2,-2,0,6,3,3,2
900537,39,2,-2,84,4,98,5,0,5,2,6,14,10,2,-2,-29,6,4,-2,8,7,1,3,2
900541,39,1,-2,-3,4,100,5,0,1,1,0,1,10,2,-2,,5,5,-2,1,6,1,1,2
900545,39,1,-2,59,5,167,4,4,2,2,0,6,3,2,-2,2,0,,,,,,4,-2
900551,39,1,-2,49,3,140,5,0,0,1,0,0,6,,,,,4,-2,0,6,1,,-2
900555,39,1,-2,18,4,120,,0,,1,0,0,0,-30,-30,1,-30,4,-2,2,5,1,2,-2
900560,39,1,2019,-3,3,130,,0,,3,0,,6,3,-2,-29,6,,,,,,5,-2
900566,38,1,2018,-3,6,60,,,,,,,,,,,,,,,,,,-2
900570,39,1,-2,7,2,180,,-2,,,,,,2,-2,,0,3,4,0,4,1,3,-2
900572,39,2,-2,24,9,0,4,-2,3,2,-2,2,-2,2,-2,2,-2,4,-2,0,1,1,5,-2
900579,39,2,-2,204,6,140,5,0,4,3,0,4,12,1,-2,8,9,5,2,2,11,1,3,4
900581,39,2,-2,-3,5,0,5,0,2,2,0,3,0,2,-2,1,10,4,1,0,8,1,6,-2
900589,39,1,2012,-3,2,0,,4,,,,,,,,,,,,,,,,-2
900590,38,1,2018,31,6,120,4,0,2,2,0,2,0,2,-2,3,2,,,,,,4,-2
900594,39,2,-2,-3,2,60,5,0,4,2,0,16,6,2,-2,15,5,,,,,,1,-2
900599,39,1,2005,21,3,76,,0,,,,,,,,,,,,,,,,-2
900601,39,1,-2,60,5,100,,0,,1,0,3,0,3,-2,2,5,2,5,3,0,1,0,-2
900606,39,2,2019,29,2,0,4,0,3,3,,4,,3,-2,6,-2,,,,,,4,-2
900610,38,2,1994,50,5,0,4,-2,1,,,,,,,,,,,,,,,-2
900614,39,2,-2,53,4,0,5,0,4,,,,,,,,,,,,,,,-2
900620,39,2,-2,-3,9,20,5,0,5,2,0,8,9,1,-2,12,9,5,-2,7,8,1,3,-2
900621,39,2,-2,46,4,0,,,,,,,,,,,,,,,,,,-2
900622,39,2,-2,36,5,130,,,,,,,,,,,,,,,,,,3
900623,39,2,2014,61,6,48,3,0,0,4,0,2,6,4,-2,-29,10,,,,,,4,-2
900629,39,1,-2,44,2,119,5,0,2,2,0,4,11,2,-2,2,10,5,-2,4,6,1,2,-2
900630,39,2,-2,15,2,3,5,0,2,2,0,1,8,2,-2,4,10,4,-2,1,8,1,2,-2
900633,39,2,2017,-3,6,0,,,,,,,,,,,,,,,,,,-2
900634,39,1,-2,16,3,210,5,0,1,1,0,,8,1,-2,2,8,4,-2,4,6,2,4,3
900636,39,1,2000,13,4,92,4,-2,3,,,,,,,,,,,,,,,-2
900639,39,2,-2,86,6,0,5,0,10,1,0,6,8,2,-2,,6,,,,,,7,-2
900649,38,1,-2,53,5,120,4,0,9,1,0,3,0,1,-2,6,10,4,-2,0,5,1,4,-2
900652,39,2,2014,26,5,0,,0,,3,-5,,-5,,,,,,,,,,,2
900653,39,2,2009,20,9,0,3,0,4,4,-2,3,6,,,,,,,,,,,-2
900657,39,2,-2,-3,3,6,,,,2,,-3,,,,,,,,,,,,-2
900667,39,1,-2,49,3,190,5,0,2,2,0,1,6,2,-2,-29,8,3,-2,0,7,1,4,-2
900669,40,2,2019,80,9,24,,,,,,,,,,,,,,,,,,-2
900674,39,2,-2,-3,3,25,,-2,,3,-2,7,-2,3,-2,4,-2,,,,,,4,-2
900676,39,2,2007,49,4,0,3,6,0,3,0,1,10,,,,,,,,,,,-2
900678,39,1,2003,31,4,120,4,-2,2,,,,,,,,,,,,,,,-2
900689,39,1,-2,54,3,175,4,0,1,2,0,0,7,2,-2,-29,6,,,,,,3,-2
900690,39,1,-2,18,2,190,4,5,10,3,0,1,7,3,-2,2,6,3,-2,4,0,1,3,-2
900693,-3,1,-2,68,6,-3,,,,,,,,,,,,,,,,,,-3
900695,39,1,-2,33,5,122,5,-2,3,2,,4,,,,,,,,,,,,-2
900704,39,1,-2,78,5,250,4,-2,4,2,,3,,2,-2,8,-2,,,,,,2,3
900706,38,1,-2,-3,5,130,4,-2,2,3,-2,0,-2,2,-2,2,-2,,,,,,3,-2
900710,39,1,-2,71,9,150,5,0,8,1,2,10,12,2,-2,10,6,4,-2,3,0,1,3,-2
900716,39,2,-2,58,3,0,,,,3,,0,,,,,,,,,,,,-2
900719,39,1,2004,63,2,125,4,-2,0,,,,,,,,,,,,,,,2
900720,39,1,-2,71,6,200,4,0,4,2,0,1,9,2,-2,8,5,4,-2,0,0,1,2,3
900724,39,2,-2,61,3,0,4,6,3,3,0,3,11,3,-2,2,11,4,4,1,7,1,4,-2
900726,39,1,-2,78,3,0,4,0,3,1,0,4,6,,,,,,,,,,,-2
900727,39,1,-2,76,9,140,4,0,7,2,0,2,7,3,-2,1,10,4,-2,1,9,3,4,-2
900728,39,1,-2,67,2,150,5,-2,1,2,-2,1,-2,,,,,,,,,,,2
900731,39,1,-2,9,2,110,3,0,2,1,0,6,10,3,-2,4,10,4,-2,4,5,1,2,2
900732,39,2,-2,58,6,0,,-2,,3,-2,,-2,3,-2,2,-2,,,,,,8,-2
900740,39,1,-2,83,8,110,,0,,2,0,2,8,3,5,3,6,,,,,,2,3
900741,39,2,-2,13,2,0,4,-2,4,2,-2,5,-2,-30,-30,2,-30,,,,,,2,-2
900743,39,2,-2,51,2,97,4,0,3,2,0,-3,6,3,-2,5,4,4,-2,0,5,1,2,-2
900749,39,1,1990,80,7,200,,,,,,,,,,,,,,,,,,-2
900751,38,2,-2,85,7,140,4,-2,10,3,-2,12,4,3,-2,4,4,3,-2,1,0,1,1,-2
900753,39,1,-2,13,4,245,5,0,2,2,0,2,4,3,-2,4,0,,,,,,4,-2
900758,38,2,-2,87,9,0,,6,,2,0,,2,2,-2,2,6,4,-2,6,8,1,7,-2
900760,39,1,-2,47,5,150,,0,,,,,,,,,,,,,,,,-2
900762,39,2,-2,-3,2,10,4,0,4,3,0,4,12,3,-2,8,8,3,-2,15,9,1,7,-2
900764,39,2,-2,67,9,0,4,0,1,2,0,2,9,3,-2,8,10,4,-2,0,6,1,6,-2
900772,39,1,-2,-3,6,240,4,-2,2,1,-2,4,-2,,,,,,,,,,,2
900773,38,2,2005,55,4,21,4,0,2,3,0,2,10,,,,,,,,,,,2
900776,-3,1,-2,63,8,-3,,,,,,,,,,,,,,,,,,-3
900778,39,2,-2,25,2,35,5,0,10,,,,,,,,,,,,,,,-2
900781,38,1,-2,29,2,132,3,-2,8,3,-2,,-2,2,-2,2,-2,,,,,,3,-2
900782,39,2,2018,56,9,0,3,0,4,,,,,4,-2,1,6,,,,,,5,-2
900784,38,2,-2,38,5,0,,,,1,,8,,,,,,,,,,,,-2
900789,40,2,1982,39,4,0,,,,,,,,,,,,,,,,,,-2
900791,39,1,2012,17,5,100,3,4,0,3,0,-3,2,,,,,,,,,,,-2
900800,39,1,2014,55,6,160,5,0,6,2,0,2,11,3,-2,-29,3,,,,,,2,1
900801,38,1,-2,74,9,125,4,0,1,1,0,1,8,1,-2,1,8,5,-2,1,6,1,3,-2
900804,39,1,-2,70,2,260,5,-2,3,1,-2,2,-2,2,-2,2,-2,,,,,,3,4
900805,39,1,2008,62,6,85,,0,,,,,,,,,,,,,,,,2
900808,39,2,2019,9,2,0,4,0,7,3,0,4,8,3,-2,6,6,,,,,,2,-2
